Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
26/07/2010,128.18,128.43,127.14,128.41,5174900,0,1,105.6099597,105.8159395,104.7530838,105.7994611,5174900
27/07/2010,128.78,129.17,127.89,128.63,4648200,0,1,106.1043112,106.4256397,105.3710232,105.9807233,4648200
28/07/2010,128.67,129.35,127.88,128.43,4248800,0,1,106.0136801,106.5739452,105.362784,105.8159395,4248800
29/07/2010,129.06,129.5,127.14,128.02,8994200,0,1,106.3350086,106.697533,104.7530838,105.4781327,8994200
30/07/2010,127.43,128.98,127.04,128.4,6021000,0,1,104.9920203,106.2690951,104.6706919,105.7912219,6021000
02/08/2010,129.25,131.2,129.25,130.76,6437500,0,1,106.4915532,108.0981956,106.4915532,107.7356712,6437500
03/08/2010,130.03,131.04,129.33,130.37,5091800,0,1,107.1342102,107.9663686,106.5574668,107.4143427,5091800
04/08/2010,130.46,131.5,129.85,131.27,4567500,0,1,107.4884954,108.3453714,106.9859047,108.15587,4567500
05/08/2010,130.73,131.98,130.53,131.83,4520600,0,1,107.7109536,108.7408526,107.5461698,108.6172647,4520600
06/08/2010,130.41,130.48,128.76,130.14,6136200,0.65,1,107.983958,108.0419204,106.6177014,107.7603888,6136200
09/08/2010,130.79,132.34,130.4,132,6131700,0,1,108.2986111,109.5820643,107.9756777,109.3005326,6131700
10/08/2010,131.18,132.49,130.77,131.84,5471700,0,1,108.6215445,109.7062695,108.2820504,109.1680471,5471700
11/08/2010,130.69,130.69,129.461,129.83,6316100,0,1,108.2158076,108.2158076,107.1981534,107.5036981,6316100
12/08/2010,127.69,128.78,127.52,128.3,5132200,0,1,105.7317046,106.6342621,105.5909388,106.2368056,5132200
13/08/2010,127.96,128.46,127.33,127.87,4669400,0,1,105.9552739,106.3692911,105.4336123,105.8807508,4669400
16/08/2010,127.47,128.23,126.96,127.77,4009200,0,1,105.5495371,106.1788432,105.1272396,105.7979474,4009200
17/08/2010,128.83,129.85,127.905,128.45,4298300,0,1,106.6756638,107.5202588,105.909732,106.3610107,4298300
18/08/2010,128.87,130.195,127.8,129.3925,4883200,0,1,106.7087852,107.8059307,105.8227884,107.1414331,4883200
19/08/2010,128.67,129.59,128.02,128.9,5402400,0,1,106.5431783,107.3049699,106.004956,106.7336262,5402400
20/08/2010,128.72,128.98,126.96,127.5,6246300,0,1,106.58458,106.7998689,105.1272396,105.5743781,6246300
23/08/2010,127.57,128.03,126.44,126.47,4034400,0,1,105.6323405,106.0132363,104.6966617,104.7215027,4034400
24/08/2010,125.21,126.02,124.57,124.9,5621200,0,1,103.6781795,104.3488873,103.1482375,103.4214888,5621200
25/08/2010,124.57,125.6,124,125.27,5235300,0,1,103.1482375,104.0011129,102.6762579,103.7278615,5235300
26/08/2010,125.78,125.78,122.78,122.78,7746600,0,1,104.150159,104.150159,101.666056,101.666056,7746600
27/08/2010,123.83,124.8,122.42,124.73,6214200,0,1,102.5354921,103.3386854,101.3679637,103.280723,6214200
30/08/2010,125.08,125.2699,123.4,123.4,3604000,0,1,103.570535,103.7277787,102.1794373,102.1794373,3604000
31/08/2010,123.31,123.99,122.28,123.13,5624200,0,1,102.1049142,102.6679776,101.2520389,101.9558681,5624200
01/09/2010,125.31,126.31,124.52,125.77,5623100,0,1,103.7609829,104.5890172,103.1068358,104.1418787,5623100
02/09/2010,126.03,126.23,124.65,125.04,5103300,0,1,104.3571676,104.5227745,103.2144802,103.5374136,5103300
03/09/2010,126.22,127.6,125.9001,127.58,5142900,0,1,104.5144942,105.6571815,104.249606,105.6406209,5142900
07/09/2010,126.99,127.36,125.8801,125.95,4353300,0,1,105.1520806,105.4584533,104.2330453,104.2909249,4353300
08/09/2010,126.02,126.5199,125.39,126.08,4477500,0,1,104.3488873,104.7628217,103.8272257,104.3985694,4477500
09/09/2010,127.27,127.57,126.15,126.36,3436700,0,1,105.3839302,105.6323405,104.4565318,104.630419,3436700
10/09/2010,126.99,128.29,126.26,127.99,4418700,0,1,105.1520806,106.2285252,104.5476155,105.9801149,4418700
13/09/2010,128.63,130,128.52,129.61,5271300,0,1,106.5100569,107.644464,106.4189731,107.3215306,5271300
14/09/2010,128.43,129.92,128.43,128.85,4850500,0,1,106.34445,107.5782212,106.34445,106.6922245,4850500
15/09/2010,128.65,129.96,128.54,129.43,4762500,0,1,106.5266176,107.6113426,106.4355338,107.1724844,4762500
16/09/2010,129.2,129.95,128.8,129.67,4685000,0,1,106.9820365,107.6030622,106.6508227,107.3712126,4685000
17/09/2010,129.92,130.6,129.7,130.19,10397400,0,1,107.5782212,108.1412846,107.3960537,107.8017905,10397400
20/09/2010,130.24,132.09,130.11,131.79,7145500,0,1,107.8431922,109.3750557,107.7355477,109.1266454,7145500
21/09/2010,131.45,132.8,130.78,131.98,5267900,0,1,108.8451137,109.9629601,108.2903307,109.2839719,5267900
22/09/2010,131.61,132.58,131.4,132.57,4922400,0,1,108.9775992,109.7807925,108.803712,109.7725122,4922400
23/09/2010,131.42,132.78,131.22,131.67,3898800,0,1,108.8202727,109.9463994,108.6546658,109.0272813,3898800
24/09/2010,132.42,134.15,132.34,134.11,7122400,0,1,109.6483071,111.0808065,109.5820643,111.0476851,7122400
27/09/2010,133.51,135,133.51,134.65,6155400,0,1,110.5508645,111.7846356,110.5508645,111.4948236,6155400
28/09/2010,134.67,135.14,133.71,134.89,7481300,0,1,111.5113843,111.9005605,110.7164713,111.6935519,7481300
29/09/2010,134.4,135.805,134.34,135.48,5151200,0,1,111.287815,112.4512033,111.238133,112.1820921,5151200
30/09/2010,135.5,136.11,133.67,134.14,6425800,0,1,112.1986528,112.7037538,110.68335,111.0725261,6425800
01/10/2010,135.51,136.28,135.09,135.64,5621200,0,1,112.2069332,112.8445196,111.8591587,112.3145776,5621200
04/10/2010,135.23,135.92,134.39,135.25,4059900,0,1,111.9750835,112.5464272,111.2795347,111.9916442,4059900
05/10/2010,136.18,137.9015,136.12,137.66,6202500,0,1,112.7617162,114.1871773,112.7120341,113.987207,6202500
06/10/2010,136.88,137.96,136.83,137.84,4783000,0,1,113.3413402,114.2356173,113.2999385,114.1362532,4783000
07/10/2010,137.92,138.88,137.52,138.72,6440800,0,1,114.2024959,114.9974089,113.8712822,114.8649234,6440800
08/10/2010,138.4,139.09,138.06,138.85,4540800,0,1,114.5999524,115.1712961,114.3184207,114.9725678,4540800
11/10/2010,138.79,139.94,138.64,139.66,4004300,0,1,114.9228858,115.8751253,114.7986806,115.6432757,4004300
12/10/2010,138.4,139.99,138.27,139.85,5637300,0,1,114.5999524,115.916527,114.4923079,115.8006022,5637300
13/10/2010,139.91,141.48,139.78,140.37,8784300,0,1,115.8502842,117.1502982,115.7426398,116.23118,8784300
14/10/2010,140.35,141.5,139.69,141.5,5653100,0,1,116.2146194,117.1668588,115.6681167,117.1668588,5653100
15/10/2010,142.1,142.1,140.54,141.06,7220400,0,1,117.6636794,117.6636794,116.3719459,116.8025237,7220400
18/10/2010,140.9,143.03,140.84,142.83,10322700,0,1,116.6700382,118.4337514,116.6203562,118.2681445,10322700
19/10/2010,137.3,139.34,136.7,138.03,14159100,0,1,113.6891146,115.3783047,113.192294,114.2935797,14159100
20/10/2010,138.28,139.87,138.13,139.07,6945500,0,1,114.5005883,115.8171629,114.3763831,115.1547354,6945500
21/10/2010,139.81,140.49,138.4,139.83,6221200,0,1,115.7674808,116.3305442,114.5999524,115.7840415,6221200
22/10/2010,140.15,140.75,139.46,139.67,4105300,0,1,116.0490125,116.5458331,115.4776688,115.651556,4105300
25/10/2010,140.42,141.4,139.81,139.84,4870000,0,1,116.2725818,117.0840554,115.7674808,115.7923218,4870000
26/10/2010,139.29,142,138.53,140.67,7327100,0,1,115.336903,117.580876,114.7075969,116.4795903,7327100
27/10/2010,139.52,141.57,139,141.43,6465300,0,1,115.5273509,117.2248212,115.096773,117.1088964,6465300
28/10/2010,141.84,141.95,140.42,140.9,5481600,0,1,117.4483905,117.5394743,116.2725818,116.6700382,5481600
29/10/2010,140.9,144,140.75,143.6,8439300,0,1,116.6700382,119.2369447,116.5458331,118.905731,8439300
01/11/2010,143.64,144.26,142.32,143.32,5674600,0,1,118.9388523,119.4522336,117.845847,118.6738813,5674600
02/11/2010,143.85,144.71,143.71,143.84,4626400,0,1,119.1127395,119.8248491,118.9968147,119.1044592,4626400
03/11/2010,144.24,144.46,142.63,144.17,5182100,0,1,119.4356729,119.6178405,118.1025376,119.3777105,5182100
04/11/2010,144.82,146.84,144.71,146.79,6622500,0,1,119.9159328,121.5885622,119.8248491,121.5471605,6622500
05/11/2010,145.94,146.93,145.67,146.92,4995800,0,1,120.8433313,121.6630853,120.619762,121.654805,4995800
08/11/2010,145.35,146.58,145.25,146.46,4459700,0.65,1,120.8889343,121.9119366,120.8057633,121.8121315,4459700
09/11/2010,146.7,147.53,145.63,146.14,5700600,0,1,122.0117417,122.7020603,121.1218128,121.5459845,5700600
10/11/2010,146.09,146.79,145.63,146.55,5172000,0,1,121.5043991,122.0865955,121.1218128,121.8869853,5172000
11/11/2010,144.7,145.5,143.35,145.43,4752200,0,1,120.3483233,121.0136906,119.2255158,120.955471,4752200
12/11/2010,144.59,145.77,143.55,143.74,4731500,0,1,120.2568353,121.2382521,119.3918577,119.5498824,4731500
15/11/2010,143.89,144.75,143.27,143.64,3827700,0,1,119.6746388,120.3899087,119.1589791,119.4667115,3827700
16/11/2010,142.93,143.38,141.18,142.24,6342100,0,1,118.876198,119.2504671,117.4207068,118.3023186,6342100
17/11/2010,142.49,142.49,141.39,141.95,4785900,0,1,118.5102459,118.5102459,117.5953658,118.0611229,4785900
18/11/2010,143.04,144.99,142.75,144.36,4236200,0,1,118.967686,120.5895189,118.7264903,120.0655421,4236200
19/11/2010,144.38,145.35,143.99,145.05,5015900,0,1,120.0821763,120.8889343,119.7578097,120.6394215,5015900
22/11/2010,144,145.43,143.56,145.39,3730700,0,1,119.7661268,120.955471,119.4001748,120.9222026,3730700
23/11/2010,144.24,144.53,142.33,143.18,4570300,0,1,119.965737,120.2069327,118.3771724,119.0841253,4570300
24/11/2010,143.95,146.44,143.82,145.81,4874100,0,1,119.7245414,121.7954973,119.6164192,121.2715205,4874100
26/11/2010,145.3,145.3,143.57,143.9,2081300,0,1,120.8473488,120.8473488,119.4084919,119.6829559,2081300
29/11/2010,143.53,143.67,141.5,142.89,5040300,0,1,119.3752235,119.4916628,117.6868538,118.8429296,5040300
30/11/2010,142.24,142.76,141.28,141.46,7674800,0,1,118.3023186,118.7348074,117.5038778,117.6535854,7674800
01/12/2010,143.61,145.13,143.51,144.41,6822800,0,1,119.4417602,120.7059582,119.3585893,120.1071276,6822800
02/12/2010,144.33,145.85,144.3,145.18,5374000,0,1,120.0405909,121.3047889,120.0156396,120.7475437,5374000
03/12/2010,144.25,145.68,144.25,145.38,3710600,0,1,119.9740541,121.1633983,119.9740541,120.9138855,3710600
06/12/2010,144.54,145.87,144.52,144.99,3321800,0,1,120.2152498,121.321423,120.1986156,120.5895189,3321800
